file index:64, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.994, cost:0.3500 min, ETA:15.7500 min,         Acc:0.984, Precision:0.983, Recall:1.000, F1:0.992,[TP:59, FP:1, TN:4, FN:0]
file index:65, before 2048:0.969, after 2048:0.969, before 256:0.973, after 256:0.988, cost:0.3333 min, ETA:14.6667 min,         Acc:0.969, Precision:0.967, Recall:1.000, F1:0.983,[TP:58, FP:2, TN:4, FN:0]
file index:66, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.994, cost:0.3167 min, ETA:13.6167 min,         Acc:0.984, Precision:0.981, Recall:1.000, F1:0.991,[TP:53, FP:1, TN:10, FN:0]
file index:67, before 2048:0.844, after 2048:0.844, before 256:0.941, after 256:0.955, cost:0.3333 min, ETA:14.0000 min,         Acc:0.844, Precision:0.833, Recall:1.000, F1:0.909,[TP:50, FP:10, TN:4, FN:0]
file index:68, before 2048:0.969, after 2048:0.969, before 256:0.979, after 256:0.994, cost:0.3000 min, ETA:12.3000 min,         Acc:0.969, Precision:0.959, Recall:1.000, F1:0.979,[TP:47, FP:2, TN:15, FN:0]
file index:69, before 2048:0.984, after 2048:0.984, before 256:0.980, after 256:0.995, cost:0.3167 min, ETA:12.6667 min,         Acc:0.984, Precision:0.980, Recall:1.000, F1:0.990,[TP:48, FP:1, TN:15, FN:0]
file index:70, before 2048:0.969, after 2048:0.969, before 256:0.980, after 256:0.995, cost:0.3167 min, ETA:12.3500 min,         Acc:0.969, Precision:0.959, Recall:1.000, F1:0.979,[TP:47, FP:2, TN:15, FN:0]
file index:71, before 2048:0.969, after 2048:0.969, before 256:0.980, after 256:0.995, cost:0.3000 min, ETA:11.4000 min,         Acc:0.969, Precision:0.959, Recall:1.000, F1:0.979,[TP:47, FP:2, TN:15, FN:0]
file index:72, before 2048:0.969, after 2048:0.969, before 256:0.979, after 256:0.995, cost:0.3167 min, ETA:11.7167 min,         Acc:0.969, Precision:0.959, Recall:1.000, F1:0.979,[TP:47, FP:2, TN:15, FN:0]
file index:73, before 2048:0.969, after 2048:0.969, before 256:0.980, after 256:0.995, cost:0.3167 min, ETA:11.4000 min,         Acc:0.969, Precision:0.959, Recall:1.000, F1:0.979,[TP:47, FP:2, TN:15, FN:0]
file index:74, before 2048:0.969, after 2048:0.969, before 256:0.979, after 256:0.994, cost:0.3167 min, ETA:11.0833 min,         Acc:0.969, Precision:0.959, Recall:1.000, F1:0.979,[TP:47, FP:2, TN:15, FN:0]
file index:75, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.994, cost:0.3000 min, ETA:10.2000 min,         Acc:0.984, Precision:0.979, Recall:1.000, F1:0.989,[TP:47, FP:1, TN:16, FN:0]
file index:76, before 2048:0.984, after 2048:0.984, before 256:0.978, after 256:0.994, cost:0.3167 min, ETA:10.4500 min,         Acc:0.984, Precision:0.979, Recall:1.000, F1:0.989,[TP:47, FP:1, TN:16, FN:0]
file index:77, before 2048:0.547, after 2048:0.547, before 256:0.921, after 256:0.936, cost:0.3167 min, ETA:10.1333 min,         Acc:0.547, Precision:0.194, Recall:1.000, F1:0.326,[TP:7, FP:29, TN:28, FN:0]
file index:78, before 2048:0.953, after 2048:0.953, before 256:0.964, after 256:0.979, cost:0.3167 min, ETA:9.8167 min,         Acc:0.953, Precision:0.938, Recall:1.000, F1:0.968,[TP:45, FP:3, TN:16, FN:0]
file index:79, before 2048:0.984, after 2048:0.984, before 256:0.978, after 256:0.994, cost:0.3000 min, ETA:9.0000 min,         Acc:0.984, Precision:0.982, Recall:1.000, F1:0.991,[TP:54, FP:1, TN:9, FN:0]
file index:80, before 2048:0.984, after 2048:0.984, before 256:0.977, after 256:0.993, cost:0.3167 min, ETA:9.1833 min,         Acc:0.984, Precision:0.982, Recall:1.000, F1:0.991,[TP:54, FP:1, TN:9, FN:0]
file index:81, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.994, cost:0.3167 min, ETA:8.8667 min,         Acc:0.984, Precision:0.982, Recall:1.000, F1:0.991,[TP:54, FP:1, TN:9, FN:0]
file index:82, before 2048:0.984, after 2048:0.984, before 256:0.980, after 256:0.995, cost:0.3167 min, ETA:8.5500 min,         Acc:0.984, Precision:0.982, Recall:1.000, F1:0.991,[TP:54, FP:1, TN:9, FN:0]
file index:83, before 2048:0.984, after 2048:0.984, before 256:0.980, after 256:0.995, cost:0.3333 min, ETA:8.6667 min,         Acc:0.984, Precision:0.982, Recall:1.000, F1:0.991,[TP:54, FP:1, TN:9, FN:0]
file index:84, before 2048:0.984, after 2048:0.984, before 256:0.980, after 256:0.995, cost:0.3333 min, ETA:8.3333 min,         Acc:0.984, Precision:0.982, Recall:1.000, F1:0.991,[TP:54, FP:1, TN:9, FN:0]
file index:85, before 2048:0.984, after 2048:0.984, before 256:0.977, after 256:0.992, cost:0.3167 min, ETA:7.6000 min,         Acc:0.984, Precision:0.982, Recall:1.000, F1:0.991,[TP:54, FP:1, TN:9, FN:0]
file index:86, before 2048:0.984, after 2048:0.984, before 256:0.978, after 256:0.993, cost:0.3333 min, ETA:7.6667 min,         Acc:0.984, Precision:0.982, Recall:1.000, F1:0.991,[TP:54, FP:1, TN:9, FN:0]
file index:87, before 2048:0.984, after 2048:0.984, before 256:0.978, after 256:0.993, cost:0.3167 min, ETA:6.9667 min,         Acc:0.984, Precision:0.982, Recall:1.000, F1:0.991,[TP:54, FP:1, TN:9, FN:0]
file index:88, before 2048:0.969, after 2048:0.969, before 256:0.978, after 256:0.993, cost:0.3167 min, ETA:6.6500 min,         Acc:0.969, Precision:0.963, Recall:1.000, F1:0.981,[TP:52, FP:2, TN:10, FN:0]
file index:89, before 2048:0.984, after 2048:0.984, before 256:0.971, after 256:0.986, cost:0.3167 min, ETA:6.3333 min,         Acc:0.984, Precision:0.982, Recall:1.000, F1:0.991,[TP:54, FP:1, TN:9, FN:0]
