file index:60, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2833 min, ETA:13.8833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:61, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2833 min, ETA:13.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:62, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2833 min, ETA:13.3167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:63, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2833 min, ETA:13.0333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:64, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2833 min, ETA:12.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:65, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2833 min, ETA:12.4667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:66, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2500 min, ETA:10.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:67, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.2833 min, ETA:11.9000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:68, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2500 min, ETA:10.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:69, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2667 min, ETA:10.6667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:70, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2500 min, ETA:9.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:71, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2500 min, ETA:9.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
